,assists,blocks,fg_attempts,fg_made,ft_attempts,ft_made,opponent,player,points,position,rebounds,salary,stats,steals,team,threes,turnovers,date,away,minutes_played,team_points,opponent_points,dk_pt
2304,2,0,8,4,0,0,uta,"Gilgeous-Alexander, Shai",8,PG/SG,1,3700,8pt 1rb 2as 4to 4-8fg,0,lac,0,4,2019-01-16,False,22.07,109,129,10.25
2305,0,0,6,2,0,0,hou,"Napier, Shabazz",5,PG/SG,1,4400,5pt 1rb 2st 1to 1trey 2-6fg,2,bkn,1,1,2019-01-16,True,8.02,145,142,10.25
2306,0,0,7,2,2,1,uta,"Wallace, Tyrone",6,PG/SG,1,3200,6pt 1rb 1trey 2-7fg 1-2ft,0,lac,1,0,2019-01-16,False,13.37,109,129,7.75
2307,2,0,3,0,0,0,bos,"VanVleet, Fred",0,PG/SG,2,4700,0pt 2rb 2as 1st 1to 0-3fg,1,tor,0,1,2019-01-16,True,18.12,108,117,7.0
2308,0,0,3,1,0,0,sas,"Harris, Devin",3,PG/SG,0,3100,3pt 1trey 1-3fg,0,dal,1,0,2019-01-16,False,6.0,101,105,3.5
2309,1,0,0,0,0,0,nor,"Cook, Quinn",0,PG,0,3200,0pt 1as,0,gsw,0,0,2019-01-16,False,5.13,147,140,1.5
2310,0,0,2,0,0,0,gsw,"Jackson, Frank",0,PG/SG,1,3300,0pt 1rb 0-2fg,0,nor,0,0,2019-01-16,True,5.03,140,147,1.25
2311,0,0,2,0,0,0,cle,"Simons, Anfernee",0,PG/SG,0,3000,0pt 0-2fg,0,por,0,0,2019-01-16,False,2.05,129,112,0.0
2312,0,0,0,0,0,0,cle,"Trent Jr., Gary",0,SG,0,3000,0pt,0,por,0,0,2019-01-16,False,2.05,129,112,0.0
2313,0,0,1,0,0,0,lac,"Mitrou-Long, Nazareth",0,PG/SG,0,3000,0pt 0-1fg,0,uta,0,0,2019-01-16,True,2.0,129,109,0.0
2314,0,0,3,0,0,0,bos,"Wright, Delon",0,PG/SG,0,4300,0pt 0-3fg,0,tor,0,0,2019-01-16,True,12.25,108,117,0.0
2315,0,0,0,0,0,0,gsw,"Clark, Ian",0,PG/SG,0,3000,0pt 1to,0,nor,0,1,2019-01-16,True,2.13,140,147,-0.5
2316,4,1,24,10,5,5,nor,"Durant, Kevin",30,SF/PF,15,9800,30pt 15rb 4as 2st 1bl 3to 5trey 10-24fg 5-5ft,2,gsw,5,3,2019-01-16,False,38.18,147,140,63.25
2317,3,2,14,10,8,7,mem,"Antetokounmpo, Giannis",27,SF/PF,11,11000,27pt 11rb 3as 1st 2bl 1to 10-14fg 7-8ft,1,mil,0,1,2019-01-16,True,21.57,111,101,52.25
2318,2,0,19,10,11,11,bos,"Leonard, Kawhi",33,SF/PF,4,9600,33pt 4rb 2as 4st 1to 2trey 10-19fg 11-11ft,4,tor,2,1,2019-01-16,True,36.43,108,117,49.5
2319,8,0,21,10,2,2,sas,"Doncic, Luka",25,SG/SF,8,8400,25pt 8rb 8as 1st 2to 3trey 10-21fg 2-2ft,1,dal,3,2,2019-01-16,False,35.8,101,105,49.5
2320,1,1,12,7,6,3,bkn,"Tucker, P.J.",20,SF/PF,10,4700,20pt 10rb 1as 2st 1bl 1to 3trey 7-12fg 3-6ft,2,hou,3,1,2019-01-16,False,41.73,142,145,42.5
2321,3,3,11,4,6,4,mil,"Green, JaMychal",14,SF/PF,10,4900,14pt 10rb 3as 1st 3bl 4to 2trey 4-11fg 4-6ft,1,mem,2,4,2019-01-16,False,26.47,101,111,39.5
2322,2,1,15,8,4,2,lac,"Crowder, Jae",23,SF/PF,4,4300,23pt 4rb 2as 2st 1bl 1to 5trey 8-15fg 2-4ft,2,uta,5,1,2019-01-16,True,29.23,129,109,39.0
2323,2,1,16,6,3,3,tor,"Tatum, Jayson",16,SF/PF,10,6600,16pt 10rb 2as 1bl 1to 1trey 6-16fg 3-3ft,0,bos,1,1,2019-01-16,False,31.25,117,108,35.0
2324,1,1,14,8,3,2,det,"Ross, Terrence",24,SG/SF,2,4800,24pt 2rb 1as 1st 1bl 1to 6trey 8-14fg 2-3ft,1,orl,6,1,2019-01-16,True,33.0,115,120,34.5
2325,3,0,14,6,2,2,uta,"Harris, Tobias",17,SF/PF,6,7400,17pt 6rb 3as 2st 3trey 6-14fg 2-2ft,2,lac,3,0,2019-01-16,False,32.1,109,129,34.5
2326,7,0,12,6,4,3,hou,"Harris, Joe",17,SG/SF,4,4600,17pt 4rb 7as 2to 2trey 6-12fg 3-4ft,0,bkn,2,2,2019-01-16,True,43.02,145,142,32.5
2327,5,1,13,8,0,0,tor,"Hayward, Gordon",18,SF/PF,2,5200,18pt 2rb 5as 1st 1bl 1to 2trey 8-13fg,1,bos,2,1,2019-01-16,False,24.37,117,108,32.5
2328,1,0,13,6,7,6,hou,"Carroll, DeMarre",22,SF/PF,5,5000,22pt 5rb 1as 4trey 6-13fg 6-7ft,0,bkn,4,0,2019-01-16,True,34.78,145,142,31.75
2329,9,0,13,6,2,2,dal,"DeRozan, DeMar",14,SG/SF,4,8100,14pt 4rb 9as 2to 6-13fg 2-2ft,0,sas,0,2,2019-01-16,True,39.52,105,101,31.5
2330,5,0,15,7,2,1,det,"Fournier, Evan",18,SG/SF,2,5100,18pt 2rb 5as 1st 2to 3trey 7-15fg 1-2ft,1,orl,3,2,2019-01-16,True,39.53,115,120,30.5
2331,2,0,11,6,4,4,bkn,"Gordon, Eric",20,SG/SF,3,6000,20pt 3rb 2as 1st 1to 4trey 6-11fg 4-4ft,1,hou,4,1,2019-01-16,False,21.02,142,145,30.25
2332,3,1,11,8,0,0,cle,"Layman, Jake",18,SF/PF,3,3400,18pt 3rb 3as 1bl 2trey 8-11fg,0,por,2,0,2019-01-16,False,25.93,129,112,29.25
2333,1,2,15,5,0,0,bkn,"Green, Gerald",15,SG/SF,5,4300,15pt 5rb 1as 2bl 5trey 5-15fg,0,hou,5,0,2019-01-16,False,40.78,142,145,29.25
2334,4,1,5,4,2,1,mem,"Brown, Sterling",11,SG/SF,7,3300,11pt 7rb 4as 1st 1bl 5to 2trey 4-5fg 1-2ft,1,mil,2,5,2019-01-16,True,28.05,111,101,28.25
2335,2,0,15,7,6,6,por,"Hood, Rodney",20,SG/SF,4,4200,20pt 4rb 2as 7-15fg 6-6ft,0,cle,0,0,2019-01-16,True,24.5,112,129,28.0
2336,0,0,9,7,5,4,hou,"Graham, Treveon",21,SF/PF,5,3300,21pt 5rb 2to 3trey 7-9fg 4-5ft,0,bkn,3,2,2019-01-16,True,31.55,145,142,27.75
2337,2,0,13,7,4,2,mil,"Casspi, Omri",17,SF/PF,6,3500,17pt 6rb 2as 1to 1trey 7-13fg 2-4ft,0,mem,1,1,2019-01-16,False,35.77,101,111,27.5
